QUERYID,CASE_NUM,CASE_YEAR,REGN_CNTY_CDE,COMP_MUNI,MUNITYPE,REF_MRKR,ATINTERSECTION_IND,COMPX,COMPY,ACC_DATE,ACCD_TME,DMV_ACCD_CLSF,NUM_OF_INJURIES,NUM_OF_FATALITIES,NUM_OF_VEH,ACCD_TYP,COLLISION_TYP,TRAF_CNTL,LIGHT_COND,WEATHER,ROAD_SURF_COND
6836 ,34058650,2011 ,MONROE,Greece,,,Y,281887 ,4788574 , 10/21/2011,8:48 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,STOP SIGN,DAYLIGHT,CLEAR,DRY
6836 ,34058651,2011 ,MONROE,Greece,,,Y,282453 ,4790772 , 10/21/2011,6:31 PM,INJURY,2 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,TRAFFIC SIGNAL,DARK-ROAD LIGHTED,CLOUDY,DRY
6836 ,34058674,2011 ,MONROE,Rochester,, 31 43032058,Y,290316 ,4779342 , 10/22/2011,12:09 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,RIGHT ANGLE,TRAFFIC SIGNAL,DAYLIGHT,CLEAR,DRY
6836 ,34058686,2011 ,MONROE,Rochester,,,N,288148 ,4792249 , 10/23/2011,3:49 PM,INJURY,1 ,0 ,1 ,RAN OFF ROAD ONLY,OTHER,NONE,DAYLIGHT,CLEAR,DRY
6836 ,34058688,2011 ,MONROE,Rochester,,,Y,286632 ,4776867 , 10/21/2011,8:07 AM,INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,RIGHT ANGLE,NONE,DAYLIGHT,CLEAR,WET
6836 ,34058689,2011 ,MONROE,Rochester,,,Y,292147 ,4783575 , 09/30/2011,10:39 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,LEFT TURN (WITH OTHER CAR),TRAFFIC SIGNAL,DAYLIGHT,CLEAR,DRY
6836 ,34060080,2011 ,MONROE,Irondequoit,,,Y,288841 ,4787488 , 09/06/2011,4:51 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,LEFT TURN (AGAINST OTHER CAR),NONE,DAYLIGHT,CLOUDY,DRY
6836 ,34061110,2011 ,MONROE,Rochester,,,Y,292845 ,4781600 , 08/23/2011,5:50 PM,INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,TRAFFIC SIGNAL,UNKNOWN,UNKNOWN,UNKNOWN
6836 ,34061157,2011 ,MONROE,Rochester,,,Y,283880 ,4785784 , 09/12/2011,7:35 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,RIGHT ANGLE,TRAFFIC SIGNAL,DAYLIGHT,CLEAR,DRY
6836 ,34061171,2011 ,MONROE,Greece,,,N,282527 ,4789119 , 09/10/2011,1:04 PM,INJURY,1 ,0 ,1 ,COLLISION WITH PEDESTRIAN,OTHER,TRAFFIC SIGNAL,DAYLIGHT,CLEAR,DRY
6836 ,34061174,2011 ,MONROE,Rochester,,,Y,286563 ,4788767 , 09/17/2011,1:33 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DAYLIGHT,CLEAR,DRY
